Country: Austrila ,,,,,,,,,,,
State,City/Town,Suburb,Postcode,District,Location,Property_Median_Value,Updated_Year,Updated_Month,,,
NEW SOUTH WALES_NSW,SYDNEY,Wareemba,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Drummoyne,2047,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Stanmore,2048,,," $1,360,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lewisham,2049,,," $956,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Petersham,2049,,," $956,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Petersham North,2049,,," $956,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Camperdown,2050,,," $843,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Missenden Road,2050,,," $843,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hmas Waterhen,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lavender Bay,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mcmahons Point,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Sydney,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Sydney Shoppingworld,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Waverton,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Kirribilli,2061,,," $1,415,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Milsons Point,2061,,," $1,415,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cammeray,2062,,," $1,250,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Northbridge,2063,,," $3,210,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Artarmon,2064,,," $980,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Crows Nest,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Greenwich,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Naremburn,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Royal North Shore Hospital,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,St Leonards,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Wollstonecraft,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lane Cove,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lane Cove North,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lane Cove West,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Linley Point,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Longueville,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Northwood,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Riverview,2066,,," $1,082,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Chatswood,2067,,," $1,187,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Chatswood West,2067,,," $1,187,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Castlecrag,2068,,," $2,272,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Middle Cove,2068,,," $2,272,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Willoughby,2068,,," $2,272,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Willoughby,2068,,," $2,272,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Willoughby East,2068,,," $2,272,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Willoughby North,2068,,," $2,272,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Castle Cove,2069,,," $2,510,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Roseville,2069,,," $2,510,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Roseville Chase,2069,,," $2,510,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,East Lindfield,2070,,," $2,070,040.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lindfield,2070,,," $2,070,040.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lindfield West,2070,,," $2,070,040.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,East Killara,2071,,," $2,150,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Killara,2071,,," $2,150,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Gordon,2072,,," $1,000,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Pymble,2073,,," $2,235,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,West Pymble,2073,,," $2,235,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Turramurra,2074,,," $1,836,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,South Turramurra,2074,,," $1,836,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Turramurra,2074,,," $1,836,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Warrawee,2074,,," $1,836,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,St Ives,2075,,," $1,830,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,St Ives Chase,2075,,," $1,830,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Normanhurst,2076,,," $1,650,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Wahroonga,2076,,," $1,650,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Wahroonga,2076,,," $1,650,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Asquith,2077,,," $770,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hornsby,2077,,," $770,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hornsby Heights,2077,,," $770,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Waitara,2077,,," $770,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mount Colah,2079,,," $1,210,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mount Kuring-Gai,2080,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Berowra,2081,,,1220000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cowan,2081,,,1220000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Berowra Heights,2082,,,1177500,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Berowra Waters,2082,,,1177500,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bar Point,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Brooklyn,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cheero Point,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cogra Bay,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Dangar Island,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Milsons Passage,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mooney Mooney,2083,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cottage Point,2084,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Duffys Forest,2084,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Terrey Hills,2084,,,,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Belrose,2085,,,1600000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Belrose West,2085,,,1600000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Davidson,2085,,,1600000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Frenchs Forest,2086,,,1645500,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Frenchs Forest East,2086,,,1645500,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Forestville,2087,,,1703000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Killarney Heights,2087,,,1703000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mosman,2088,,,1860000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Spit Junction,2088,,,1860000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Neutral Bay,2089,,,1300000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Neutral Bay Junction,2089,,,1300000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cremorne,2090,,,1290000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cremorne Junction,2090,,,1290000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cremorne Point,2090,,,1290000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Seaforth,2092,,,2655700,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Balgowlah,2093,,,1470000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Balgowlah Heights,2093,,,1470000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Clontarf,2093,,,1470000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Manly Vale,2093,,,1470000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Balgowlah,2093,,,1470000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Fairlight,2094,,,1413000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Manly,2095,,,1200000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Manly East,2095,,,1200000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Curl Curl,2096,,,975000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Harbord,2096,,,975000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Queenscliff,2096,,,975000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Collaroy,2097,,,1470750,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Collaroy Beach,2097,,,1470750,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Collaroy Plateau West,2097,,,1470750,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Wheeler Heights,2097,,,1470750,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cromer,2099,,,1000000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Dee Why,2099,,,1000000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Narraweena,2099,,,1000000,2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Curl Curl,2099,,,1000000,2017,6,,,
